名稱,規格,製造廠商,單位,包裝規格,分類,SKU
0.9% NaCl,500ml/包,濟生輸液,包,30包/箱,耗材,
美達研注射液(D50W),20ml/瓶,信東,瓶,60瓶/盒,耗材,
L-RINGER'S,500ml/瓶,濟生輸液,瓶,30瓶/箱,耗材,
棉球,22g/包,騰旺,袋,,耗材,
棉棒(大),,嘉欣,包,,耗材,
棉棒(小),,嘉欣,包,,耗材,
脫脂紗布,4x4,建齊,包,40包/箱，100片/包,耗材,
脫脂紗布,2x2,卓和,包,50包/箱,耗材,
擦手紙,20包/箱,大潤發,包,20包/箱,耗材,
衛生紙,72包/箱,春風,包,72包/箱,耗材,
防水骨中單,(AH9209),BioCover,件,40件/箱,耗材,
防水中單,(BC9225),BioCover,件,60件/箱,耗材,
手術薄膜,10張/盒,保盾,張,10張/盒,耗材,
洞巾 ,(BC9908),BioCover,件,125件/箱,耗材,
隔離衣,,Tyvek,件,25件/包,耗材,
手術衣,,BioCover,件,40件/箱,耗材,
手術帽,,BioCover,盒,50 個/盒，10盒/箱,耗材,
手術帽(女帽),,,袋,100個/袋,耗材,
手術口罩,(綁線),BioCover,盒,50 枚/盒，24盒/箱,耗材,
手術口罩,(耳掛),BioCover,盒,50 枚/盒，24盒/箱,耗材,
BP不織布鞋套,20包/箱，100雙/包,BP,包,20包/箱，100雙/包,耗材,
3M 透氣膠布(大),6個/盒,3M,個,6個/盒,耗材,
3M 透氣膠布(小),12個/盒,3M,個,12個/盒,耗材,
華新 透氣膠布,12個/盒,華新,個,12個/盒,耗材,
醫用黏性膠帶,20cm*10m，24卷/箱,揚克,捲,,耗材,
醫用黏性膠帶,20cm*10m，24卷/箱,全和,捲,,耗材,
無菌手套,6號,華新,盒,24雙/盒，15盒/箱,耗材,
無菌手套,6.5號,華新,盒,50雙/盒，6盒/箱,耗材,
無菌手套,7號,華新,盒,50雙/盒，6盒/箱,耗材,
無菌手套,7.5號,華新,盒,50雙/盒，6盒/箱,耗材,
無菌手套,8號,華新,盒,50雙/盒，6盒/箱,耗材,
一般手套, size:L(有粉),Deatal Island,盒,100雙/盒，10盒/箱,耗材,
一般手套 ,size:M(無粉),PROTOS,盒,100雙/盒，10盒/箱,耗材,
一般手套 ,size:S (有粉),PROTOS,盒,100雙/盒，10盒/箱,耗材,
一般手套, size:S (無粉),Maslee,盒,100雙/盒，10盒/箱,耗材,
防塵墊,"24""*36""",遠宏醫療,盒,30張/本，10本/盒,耗材,
縫線,40mm Polysorb 1 角針 (CL-936),Covidien,條,36個/盒,耗材,
縫線,40mm Polysorb 0 角針 (CL-933),Covidien,條,36個/盒,耗材,
縫線,37mm Polysorb 2-0 圓針 (CL-923),Covidien,條,36個/盒,耗材,
縫線,37mm Polysorb 2-0 角針 (CL-916),Covidien,條,36個/盒,耗材,
縫線,26mm Polysorb 3-0 圓針 (GL-122),Covidien,條,36個/盒,耗材,
縫線,26mm Surgipo 3-0 圓針 (VP-522-X),Covidien,條,36個/盒,耗材,
縫線,17mm Surgipo 3-0 圓針 (VP-558-X),Covidien,條,36個/盒,耗材,
縫線,17mm Surgipo 4-0 圓針 (VP-557-X),Covidien,條,36個/盒,耗材,
縫線,90mm Nylon 1 角針 (CN-793),Covidien,條,36個/盒,耗材,
縫線,30mm Nylon 2-0角針(SN-688)(NC-302),Covidien,條,36個/盒,耗材,
縫線,30mm Nylon 1/0 角針 (NC301),佳合,條,24個/盒,耗材,
縫線,40mm Nylon 0 角針 (NC4001),佳合,條,12個/盒,耗材,
縫線,24mm Nylon 3-0 角針 (NC243L),佳合,條,24個/盒,耗材,
縫線,19mm Nylon 4-0 角針 (1756-31),Covidien,條,36個/盒,耗材,
縫線,12mm Nylon 5-0 角針 (1741-21),,條,,耗材,
縫線,13mm Chromic 6-0 圓針 (CT136),佳合,條,12個/盒,耗材,
縫線,40mm Vicryl 0 圓針 (J358),Covidien,條,,耗材,
縫線,40mm Vicryl 0 角針 (W9420),Covidien,條,,耗材,
縫線,17mm Vicryl 3-0 圓針 (J305),Covidien,條,,耗材,
縫線,24mm Vicryl 3-0 角針 (J442),Covidien,條,,耗材,
縫線,30mm Vicryl 3-0 角針 (J588),ETHICON,條,,耗材,
縫線,8mm Vicryl 5-0 角針 (J503),,條,,耗材,
縫線,6.5mm Vicryl 8-0 圓針 (J548G),Covidien,條,12個/盒,耗材,
縫線,37mm EU-TEK 2-0 圓針 (VT-372L),EU-TEK,條,36個/盒,耗材,
縫線,26mm Prolene 3-0 圓針 (8534),,條,,耗材,
縫線,13mm Prolene 5-0 圓針 (W8710),,條,,耗材,
縫線,9.3mm Prolene 5-0 圓針 (9702),,條,,耗材,
縫線,9.3mm Prolene 7-0 圓針 (W8304),,條,,耗材,
縫線,16mm Silk 4-0 角針 (SC164),佳合,條,,耗材,
縫線,36mm Vicryl 2-0(圓針)(J345H),,條,36條/盒,耗材,
刀片,10號,steril,片,100片/盒,耗材,
刀片,11號,KIATO,片,100片/盒,耗材,
刀片,15號,KIATO,片,100片/盒,耗材,
刀片,20號,Ribbel,片,100片/盒,耗材,
刀片,21號,kai,片,100片/盒,耗材,
刀片,21號,Swann-Morton,片,100片/盒,耗材,
刀片,22號,Swann-Morton,片,100片/盒,耗材,
針筒,50cc,TERUMO,支,20unit/盒,耗材,
針筒,30cc,,支,,耗材,
針筒,20cc,TERUMO,支,50unit/盒,耗材,
針筒,10cc,TERUMO,支,100unit/盒,耗材,
針筒,5cc,TERUMO,支,100unit/盒,耗材,
針筒,2.5cc,特浦,支,100unit/盒,耗材,
帶針針筒,3cc,TERUMO,支,100unit/盒,耗材,
帶針針筒,1cc,TERUMO,支,100unit/盒,耗材,
針筒,50cc,特浦,支,50個/盒,耗材,
胰島素注射筆專用針,,BD Micro-Fine,盒,100支/盒,耗材,
血糖試紙,,輔理善,盒,50個/盒,耗材,
血糖試紙,,輔理善,盒,25個/盒,耗材,
血糖採血針,28G,輔理善,盒,100支/盒,耗材,
血糖採血針,33G,BD,盒,100支/盒,耗材,
針,19G,Rhino 犀牛牌,支,12支/盒,耗材,
針,"18G 1 1/2""",Rhino 犀牛牌,支,12支/盒,耗材,
針,"18G 1""",Rhino 犀牛牌,支,12支/盒,耗材,
針,18G,Rhino 犀牛牌,支,12支/盒,耗材,
針,"20G 1 1/2""",TERUMO,支,100個/盒,耗材,
針,"18G 1 1/2""",TERUMO,支,100個/盒,耗材,
針,"21G 1 1/2""",TERUMO,支,100個/盒,耗材,
針,"21G 1 1/2""",BD,支,100支/盒，10盒/箱,耗材,
IV set,,惠普,個,100個/箱,耗材,
針,14G,,支,10支/盒,耗材,
針,25G,BD,支,100支/盒,耗材,
針,"23G 1 1/4""",TOP,支,100支/盒,耗材,
留置針,"14 G*2.5""",TERUMO,支,50支/盒,耗材,
留置針,"20 G*1.16""",TERUMO,支,50支/盒,耗材,
留置針,"20 G*1.25""",TERUMO,支,50支/盒,耗材,
留置針,"20 G*2""",TERUMO,支,50支/盒,耗材,
留置針,"22 G*1""",TERUMO,支,50支/盒,耗材,
OP site ,"6*7""",3M,片,100片/盒,耗材,
OP site ,"10*12""",3M,片,50片/盒,耗材,
NaF(灰頭),,BD,支,100支/盒,耗材,
SST(紅灰),,BD,支,100支/盒,耗材,
K2 EDAT(紫),10 ml,BD,支,100支/盒,耗材,
K2 EDAT(紫),3 ml,BD,支,100支/盒,耗材,
Haprin (綠),4 ml,BD,支,100支/盒,耗材,
Haprin (綠),10 ml,BD,支,100支/盒,耗材,
K2 EDTA(紫),6 ml,BD,個,100支/盒,耗材,
採血袋,CPDA-1 250ml,JMS,個,8個/袋,耗材,
三通,,TOP,個,50個/盒,耗材,
氣導管,8,unomedical,盒,10支/盒，10盒/箱,耗材,
氣導管,7,unomedical,盒,10支/盒，10盒/箱,耗材,
氣導管,6.5,unomedical,盒,10支/盒，10盒/箱,耗材,
氣導管,6,unomedical,盒,10支/盒，10盒/箱,耗材,
氣導管,5,unomedical,盒,10支/盒，10盒/箱,耗材,
抗凍管,,Thermo,包,50個/包,耗材,
eppendorf,2 ml,TreffLab,包,1000個/包,耗材,
eppendorf,1.5 ml,,包,1000支/包,耗材,
離心管,15 ml,BD,包,50支/包,耗材,
離心管,50 ml,labcon,包,25支/包，10包/箱,耗材,
Suction tip,,,包,100支/包,耗材,
Suction tube,180cm,太平洋,條,80條/箱,耗材,
超音波導電膠,250ml (CG 955),旭宇,瓶,24瓶/箱,耗材,
CIDEX,5L,ANIOS,瓶,,耗材,
Soda sorb,5L,GRACE,瓶,,耗材,
滴管,,,包,500支/包,耗材,
舒泰Zoletil-50,12 瓶/組,台灣維克,瓶,,藥品,
畜舒坦Stroless,100 ml/瓶,中國化學製藥,瓶,5瓶/組,藥品,
Isoflurane,250ml/瓶,寶齡富錦生技,瓶,4瓶/盒,藥品,
atropine ,"1 mg/ml, 1ml",信東,瓶,100 安瓶/盒,藥品,
KCl(15%),50 安瓶/盒,信東,瓶,50 安瓶/盒,藥品,
Meloxicam(免你痛錠),15 mg/顆,寶齡富錦生技,顆,1000顆/盒,藥品,
"亞魯特注射液 Sodium Heparin (5000U/ml)""",5 ml/瓶,中化製藥,瓶,10瓶/盒,藥品,
"亞魯特注射液 Sodium Heparin (5000U/ml)""",10 ml/瓶,中化製藥,瓶,25瓶/盒,藥品,
meloxicam (艾菲),1.6 ml/安瓶,瑞士藥廠,支,50安瓶/盒,藥品,
易滅蟲,100ml/瓶,中化製藥,瓶,,藥品,
讚配尼,100 ml/瓶,中化製藥,瓶,10瓶/盒,藥品,
Gentamicin,20ml/瓶,永信藥品,瓶,25瓶/盒,藥品,
Kalicin-250,100 ml/瓶,永信藥品,瓶,12瓶/盒,藥品,
cefazolin,1 g/瓶,信東,瓶,50瓶/盒,藥品,
Grantlife(賜來富),100 mL/瓶,永信藥品,瓶,12瓶/盒,藥品,
Cephalexin,500mg/顆 1000 顆/瓶,信東,顆,,藥品,
Amoxicillin,500mg/顆 1000 顆/瓶,信東,顆,,藥品,
俾爾使寧,50支/盒,安星製藥,支,50支/盒,藥品,
優碘軟膏,450 gm/罐,杏輝製藥,罐,,藥品,
康膚(燙傷藥膏),500 gm/罐,溫士頓,罐,,藥品,
鹽酸四環素,5g/條,溫士頓,條,120條/盒,藥品,
抗耐黴素眼藥膏,3.5g/條,,條,50條/盒,藥品,
紅黴素眼藥膏,,,條,,藥品,
易滅蟲澆滴劑0.5%,1000ml/瓶,中化製藥,瓶,,耗材,
金碘藥水,3.8 L/桶,杏輝製藥,桶,,耗材,
金碘擦洗液,1 gallon/桶,杏輝製藥,桶,,耗材,
金碘酒精液,3.8 L/桶,杏輝製藥,桶,,耗材,
克菌寧殺菌潔淨液2%,4L/桶,寶齡富錦生技,桶,,耗材,
TH4+,5 L/瓶,雋亞國際,瓶,4瓶/箱,耗材,
衛可,2.5 kg/瓶,有泉,瓶,6瓶/箱,耗材,
漂白水,5 L/瓶,高士奇,瓶,,耗材,
百喜,5 L/瓶,Zoteil,瓶,,耗材,
滿碘,5 L/瓶,聖娜威莎,瓶,,耗材,
廣衛,1.25 kg/包,寶齡富錦生技,包,,耗材,
藍特淨,5L/瓶,,瓶,,耗材,
Ivomec,100 ml/瓶,MERIAL,瓶,,藥品,
南亞滴克靈,5L/桶，4桶/箱,,桶,,耗材,
優泌樂筆-混和型50,5支/盒,,支,5支/盒,藥品,
易立顯350注射液,10/盒 100ml/瓶,,瓶,,藥品,
ketorolac(抑痛能),100瓶/盒,東洲化學製藥,瓶,100瓶/盒,藥品,
95％酒精,20 L/桶,景明化工,桶,,化學品,
牛油,16 Kg/個,SIGMA,Kg,,耗材,
中央靜脈導管,,,組,,耗材,
puncture needle(未滅菌),,,包,,耗材,
3L 呼吸袋,,,個,,耗材,
呼吸連接管,,,條,,耗材,
呼吸管(白),,,條,,耗材,
呼吸管(藍),,,條,,耗材,
呼吸管(黑),,,條,,耗材,
雙層呼吸管,,,條,,耗材,
愷得呼吸管路組,,,條,,耗材,
導尿管,8號,Anderson,條,10 pcs/盒,耗材,
10號導尿管,10號,Anderson,條,10 pcs/盒,耗材,
12號導尿管,12號,Anderson,條,10 pcs/盒,耗材,
14號導尿管,14號,Anderson,條,10 pcs/盒,耗材,
導尿管,10 pcs/盒,博斯林,條,10 pcs/盒,耗材,
電刀,,,個,,耗材,
電燒線,1條/包,升望,條,1條/包,耗材,
電刀菜瓜布,100片/包,太平洋,片,100片/包,耗材,
Formaldehyde福馬林,20 L/瓶,SIGMA,瓶,,化學品,
Leica 脫鈣液,1 L/瓶,Leica,瓶,,化學品,
NaOH,500 g/瓶,日本試藥,瓶,,化學品,
hemo-pad,,Coreleader,包,,耗材,
已滅菌夾鏈袋,,,個,,耗材,
CBC試劑 Lyse(黃),1.9L/桶,EXIGO,桶,,耗材,
CBC試劑 Cleaner(藍),1.9L/桶,EXIGO,桶,,耗材,
CBC試劑 EOS(綠),1.9L/桶,EXIGO,桶,,耗材,
CBC試劑 Diluent(紅),10L/桶,EXIGO,桶,,耗材,
梅子罐（小）,,,個,,耗材,
梅子罐(中),,,個,,耗材,
醬菜瓶（玻璃罐）,,,個,,耗材,
3L罐子,,,個,,耗材,
4L罐子,,,個,,耗材,
5L罐子,,,個,,耗材,
克菌寧潔淨液0.5%,1L/瓶,寶齡富錦生技,瓶,10瓶/箱,耗材,
Prolene 6-0 圓針 (8706H),13mm 3/8c,ETHICON,條,,耗材,
voren,3 ml/安瓶,永信藥品,瓶,100安瓶/盒,藥品,
"5 角針(W4846)""",55mm Ethibond Excel Polyster ,ETHICON,條,12個/盒,耗材,
消毒管袋 6〞,6〞(15cm)/捲,太平洋,捲,,耗材,
消毒管袋 12〞,12〞/捲,太平洋,捲,,耗材,
治鼻敏錠,4 mg/錠 ,榮民,顆,1000錠/罐,藥品,
Sigma IV Bag,,Sigma,個,,耗材,
怡安 IV Bag,,怡安,個,,耗材,
無菌保護套(PC3002),21cm*60cm,宇仁,個,,耗材,
81孔冷凍檢體紙盒,,,個,,耗材,
導電膠,5L/瓶,CG955,瓶,,耗材,
Sodium Heparin ,"(5000U/ml), 5 ml/瓶",菲尼斯,瓶,10瓶/盒,藥品,
針,19G,Nipro,支,,耗材,
"""太平洋"" 10號導尿管",1條/包,太平洋,條,1條/包,耗材,
"""太平洋"" 8號導尿管",1條/包,太平洋,條,1條/包,耗材,
雙極電燒線,1條/包,,條,1條/包,耗材,
電刀用鑷子195mm*1.0mm(藍),1支/盒,,支,1支/盒,耗材,
電刀用鑷子240mm*1.0mm(藍),1支/盒,,支,1支/盒,耗材,
電刀用鑷子140mm*0.6mm(黑),1支/盒,,支,1支/盒,耗材,
電刀用鑷子220mm*0.6mm(黑),1支/盒,,支,1支/盒,耗材,
採血袋(CPDA-1)(500ml),8個/袋,JMS,個,8個/袋,耗材,
金威讚-F,1kg/包,永鴻,包,,藥品,
